,0
Nxde,(여자)아이들
ANTIFRAGILE,LE SSERAFIM (르세라핌)
사건의 지평선,윤하(Younha/ユンナ)
Hype Boy,NewJeans
After LIKE,IVE (아이브)
Attention,NewJeans
새삥 (Prod. ZICO) (Feat. 호미들),지코
Shut Down,BLACKPINK
Rush Hour (Feat. j-hope of BTS),Crush
자격지심 (Feat. ZICO),BE'O (비오)
LOVE DIVE,IVE (아이브)
Monologue,테이(Tei)
Pink Venom,BLACKPINK
I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
When I Get Old,Christopher(크리스토퍼)
딱 10CM만,10CM
우린 그렇게 사랑해서,강민경
Anti-Hero,Taylor Swift(테일러 스위프트)
Remembered,박봄 (Park Bom)
Cookie,NewJeans
FEARLESS,LE SSERAFIM (르세라핌)
파노라마,이찬혁
TOMBOY,(여자)아이들
DICE,NMIXX
진심이었던 사람만 바보가 돼,권진아
ILLELLA (일낼라),마마무(Mamamoo)
그라데이션,10CM
ELEVEN,IVE (아이브)
그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
사랑인가 봐,멜로망스(MeloMance)
LOVE me,BE'O (비오)
LAW (Prod. Czaer),윤미래
도깨비불 (Illusion),aespa
너의 모든 순간,성시경
해요 (2022),#안녕
The Astronaut,진(Jin)
나의 X에게,경서
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
That's Hilarious,Charlie Puth(찰리 푸스)
내가 아니라도,주호
FOREVER 1,소녀시대 (GIRLS' GENERATION)
Dangerously,Charlie Puth(찰리 푸스)
Talk that Talk,TWICE (트와이스)
Change,(여자)아이들
그래서 그대는,이영현
보고싶었어,WSG워너비 (4FIRE)
strawberry moon,아이유(IU)
그때로 돌아가,로이킴
Unholy,Sam Smith(샘 스미스)
다정히 내 이름을 부르면,경서예지
STAY,The Kid LAROI
No Rules,백호
주저하는 연인들을 위해,잔나비
SNEAKERS,ITZY (있지)
떠나보낼 준비해 둘걸 그랬어,임한별
Off My Face,Justin Bieber(저스틴 비버)
Feel My Rhythm,Red Velvet (레드벨벳)
고백연습,경서
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
드라마,아이유(IU)
I Ain't Worried,OneRepublic(원리퍼블릭)
INVU,태연 (TAEYEON)
Love story,볼빨간사춘기
팡파레,다비치
내 기쁨은 너가 벤틀리를 끄는 거야,김승민
LOVE,(여자)아이들
스티커 사진,21학번
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
취중고백,김민석 (멜로망스)
사랑은 늘 도망가,임영웅
Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
No Celestial,LE SSERAFIM (르세라핌)
GHOST TOWN,Benson Boone
MY BAG,(여자)아이들
POP!,나연 (TWICE)
That That (prod. & feat. SUGA of BTS),싸이 (PSY)
Next Level,aespa
Hurt,NewJeans
신호등,이무진
가을밤에 든 생각,잔나비
Girls,aespa
못해,김나영
우리가 남이 된다면,노을
Ready For Love,BLACKPINK
28 Reasons,슬기(SEULGI)
SUN GOES DOWN (Prod. R.Tee),저스디스(JUSTHIS)
새벽에 걸려온 너의 전화는,한동근
Loser,Charlie Puth(찰리 푸스)
첫사랑,백아(Baek A)
Good Parts (when the quality is bad but I am),LE SSERAFIM (르세라핌)
Lavender Haze,Taylor Swift(테일러 스위프트)
DOMESTIC (팔각정),비
이토록 아름다운 기억만 안고 사네,윤딴딴
Celebrity,아이유(IU)
달,스트레이(The Stray)
Impurities,LE SSERAFIM (르세라핌)
CASE 143,Stray Kids (스트레이 키즈)
어른,Sondia
Weekend,태연 (TAEYEON)
